"brand","make","year","cm3","km","price"
"Hyundai","ix35","2012","1600.0","143500","9000"
"Citroen","C3","2004","1398.0","203415","2050"
"Fiat","Doblo","2015","1248.0","115000","7300"
"Citroen","C3","2003","1124.0","180000","2099"
"Opel","Corsa","2007","1248.0","174000","3000"
"Fiat","Doblo","2015","1248.0","71000","5990"
"Fiat","Doblo","2015","1598.0","177000","8600"
"Fiat","Doblo","2014","1598.0","208000","6200"
"Opel","Zafira","2004","1995.0","183000","2500"
"Renault","Kangoo","2015","1461.0","81000","6700"
"Citroen","C3","2005","1360.0","145000","2800"
"Volvo","S40","2007","1560.0","256500","3800"
"VW","Passat","2008","1985.0","207000","4850"
"Renault","Kangoo","2013","1461.0","140000","5600"
"Fiat","Doblo","2016","1248.0","112000","7300"
"Fiat","Doblo","2015","1248.0","77000","5700"
"Fiat","Doblo","2015","1248.0","210000","7500"
"BMW","316","2013","1995.0","199000","10800"
"Citroen","C3","2010","1398.0","142000","3200"
"Toyota","RAV4","2005","1794.0","124900","5100"
"Fiat","Grande Punto","2013","1368.0","146000","3990"
"Fiat","Panda","2014","1248.0","84000","6300"
"Renault","Kangoo","2013","1461.0","163000","5800"
"Opel","Corsa","2002","1700.0","233000","1500"
"Fiat","Doblo","2016","1248.0","134000","7300"
"VW","Touran","2008","1896.0","253300","5300"
"Renault","Kangoo","2015","1461.0","131000","8400"
"Fiat","Doblo","2015","1248.0","118000","7300"
"Citroen","C3 Picasso","2009","1560.0","185000","3890"
"Citroen","C4 Picasso","2014","1560.0","163491","9899"
"Fiat","Doblo","2016","1248.0","162000","7990"
"Renault","Kangoo","2014","1461.0","196000","6800"
"Chevrolet","Captiva","2007","1991.0","164000","5290"
"Renault","Megane","2003","1462.0","286000","880"
"Ford","Fiesta","2009","1598.0","141000","3990"
"VW","Passat","2006","1968.0","201000","4200"
"Fiat","Panda","2015","1248.0","126000","4600"
"Opel","Corsa","2004","1199.0","148000","1850"
"Opel","Astra","2002","2000.0","170000","1750"
"VW","Caddy","2011","1598.0","172000","6990"
"Ford","Fiesta","2008","1399.0","232000","2650"
"Fiat","Doblo","2011","1248.0","108000","5300"
"Renault","Kangoo","2013","1461.0","196000","6200"
"Fiat","Doblo","2014","1598.0","166000","6990"
"Fiat","Doblo","2014","1598.0","189000","6700"
"Peugeot","Partner","2014","1560.0","148000","6100"
"Audi","A4","2009","1968.0","166000","8190"
"Audi","A4","2006","1968.0","172000","4890"
"Citroen","C4","2011","1600.0","202000","4799"
"Citroen","Berlingo","2014","1560.0","185000","5900"
"Audi","A3","2007","1968.0","256000","5400"
"Mercedes","B 200","2005","1992.0","265000","3700"
"Kia","Ceed","2007","1991.0","163000","3050"
"Peugeot","207","2008","1398.0","207000","3400"
"Opel","Meriva","2006","1248.0","172000","2900"
"Mercedes","E 200","2012","2143.0","72000","17900"
"Peugeot","206","2002","1.0","215000","2000"
"Citroen","C1","2007","998.0","156000","2990"
